target,mse_train,mse_val,mae_val,r2_val
pressure,0.059023,0.058357,0.176837,0.994685
x-velocity,0.026095,0.026199,0.112021,0.877292
y-velocity,0.026433,0.025522,0.116333,0.951646
z-velocity,0.039869,0.040374,0.135461,0.94922
temperature,0.130442,0.13797,0.270961,0.994446
incident-radiation,1.615017,2.975126,1.072984,0.999778
radiation-temperature,0.049586,0.052957,0.177735,0.997339
rad-heat-flux,0.09062,1.024819,0.171463,0.995078
vr,0.036672,0.036794,0.135361,0.956789
