timestamp,experimento,layers,maxiter,batchsize,l2,fase4,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-03-18 15:22:49,exp15_run1,"[512, 512, 512, 512]",5000,500,0.0,True,0.433816,10.556705,2329,5000
2026-03-18 16:36:28,exp15_run2,"[512, 512, 512, 512]",5000,500,0.0,True,0.312616,11.81337,1677,5000
2026-03-18 17:51:01,exp15_run3,"[512, 512, 512, 512]",5000,500,0.0,True,0.450217,27.05221,766,5000
2026-03-19 11:43:39,exp07_run1,"[128, 128, 128, 128]",5000,500,0.0,True,5.288014,23.863565,820,5000
2026-03-19 12:54:48,exp07_run2,"[128, 128, 128, 128]",5000,500,0.0,True,7.17859,63.766163,997,5000
2026-03-19 14:04:34,exp07_run3,"[128, 128, 128, 128]",5000,500,0.0,True,8.410387,23.202883,4760,5000
2026-03-20 10:17:12,exp15_run1,"[512, 512, 512, 512]",5000,500,0.0,True,0.287287,9.76827,1426,5000
2026-03-20 11:26:36,exp15_run2,"[512, 512, 512, 512]",5000,500,0.0,True,0.27375,7.04115,2001,5000
2026-03-20 12:36:44,exp15_run3,"[512, 512, 512, 512]",5000,500,0.0,True,0.226037,9.038046,2494,5000
2026-03-20 13:49:06,exp07_run1,"[128, 128, 128, 128]",5000,500,0.0,True,3.501446,15.164945,4799,5000
2026-03-20 15:00:15,exp07_run2,"[128, 128, 128, 128]",5000,500,0.0,True,2.819863,10.916265,3894,5000
2026-03-20 16:11:41,exp07_run3,"[128, 128, 128, 128]",5000,500,0.0,True,3.557392,13.817962,4840,5000
