timestamp,experimento,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-03-16 18:05:16,exp15_L2-0_0001_run1,"[512, 512, 512, 512]",5000,500,0.0001,0.994967,1.184212,4992,5000
2026-03-16 19:22:53,exp15_L2-0_0001_run2,"[512, 512, 512, 512]",5000,500,0.0001,0.98875,1.172149,4997,5000
2026-03-16 20:40:56,exp15_L2-0_0001_run3,"[512, 512, 512, 512]",5000,500,0.0001,1.091239,1.343924,4955,5000
2026-03-16 21:59:11,exp15_L2-0_00005_run1,"[512, 512, 512, 512]",5000,500,5e-05,0.74608,0.911284,4991,5000
2026-03-16 23:17:54,exp15_L2-0_00005_run2,"[512, 512, 512, 512]",5000,500,5e-05,0.711196,0.899201,4960,5000
2026-03-17 00:35:41,exp15_L2-0_00005_run3,"[512, 512, 512, 512]",5000,500,5e-05,0.76014,0.94686,4977,5000
2026-03-17 01:54:45,exp15_L2-0_00001_run1,"[512, 512, 512, 512]",5000,500,1e-05,0.392877,0.578775,4981,5000
2026-03-17 03:13:30,exp15_L2-0_00001_run2,"[512, 512, 512, 512]",5000,500,1e-05,0.435126,0.657412,4962,5000
2026-03-17 04:31:10,exp15_L2-0_00001_run3,"[512, 512, 512, 512]",5000,500,1e-05,0.354701,0.556583,4983,5000
2026-03-17 05:50:36,exp16_L2-0_0001_run1,"[512, 512, 512, 512, 512]",5000,500,0.0001,0.790607,0.985873,4996,5000
2026-03-17 07:10:34,exp16_L2-0_0001_run2,"[512, 512, 512, 512, 512]",5000,500,0.0001,0.865964,1.072089,4964,5000
2026-03-17 08:31:02,exp16_L2-0_0001_run3,"[512, 512, 512, 512, 512]",5000,500,0.0001,0.751475,0.913139,4992,5000
2026-03-17 09:51:50,exp16_L2-0_00005_run1,"[512, 512, 512, 512, 512]",5000,500,5e-05,0.56089,0.747664,4986,5000
2026-03-17 11:13:25,exp16_L2-0_00005_run2,"[512, 512, 512, 512, 512]",5000,500,5e-05,0.579451,0.725391,4938,5000
2026-03-17 12:34:40,exp16_L2-0_00005_run3,"[512, 512, 512, 512, 512]",5000,500,5e-05,0.61505,0.782859,4967,5000
