timestamp,experimento,layers,maxiter,batchsize,train_loss_final,val_loss_final,melhor_epoca,total_epocas,tempo_treino_min
2026-03-12 00:30:36,exp01_L64-64,"[64, 64]",1000,500,31.140587,32.190292,981,1000,12.13
2026-03-12 00:43:37,exp02_L64-64-64,"[64, 64, 64]",1000,500,32.572674,31.748386,979,1000,12.86
2026-03-12 00:57:37,exp03_L64-64-64-64,"[64, 64, 64, 64]",1000,500,18.246923,18.169647,986,1000,13.86
2026-03-12 01:12:44,exp04_L64-64-64-64-64,"[64, 64, 64, 64, 64]",1000,500,21.773676,18.382641,1000,1000,14.97
2026-03-12 01:27:04,exp05_L128-128,"[128, 128]",1000,500,24.901552,25.135731,985,1000,14.19
2026-03-12 01:43:55,exp06_L128-128-128,"[128, 128, 128]",1000,500,15.507956,18.851486,975,1000,16.69
2026-03-12 02:03:13,exp07_L128-128-128-128,"[128, 128, 128, 128]",1000,500,13.058462,14.409062,987,1000,19.14
2026-03-12 02:24:34,exp08_L128-128-128-128-128,"[128, 128, 128, 128, 128]",1000,500,7.278125,8.583955,958,1000,21.21
2026-03-12 11:06:17,exp09_L256-256,"[256, 256]",1000,500,23.598463,22.380949,980,1000,39.08
2026-03-12 12:01:35,exp10_L256-256-256,"[256, 256, 256]",1000,500,16.87241,16.534681,960,1000,54.96
2026-03-12 14:09:32,exp11_L256-256-256-256,"[256, 256, 256, 256]",1000,500,3.030374,3.13162,965,1000,127.68
2026-03-12 14:59:52,exp12_L256-256-256-256-256,"[256, 256, 256, 256, 256]",1000,500,2.134876,2.311975,994,1000,50.08
2026-03-12 15:47:18,exp13_L512-512,"[512, 512]",1000,500,20.567457,21.273138,969,1000,47.2
2026-03-12 16:44:28,exp14_L512-512-512,"[512, 512, 512]",1000,500,4.19431,5.695475,989,1000,56.94
2026-03-12 18:26:46,exp15_L512-512-512-512,"[512, 512, 512, 512]",1000,500,3.519155,2.212873,896,1000,102.01
2026-03-12 20:23:49,exp16_L512-512-512-512-512,"[512, 512, 512, 512, 512]",1000,500,2.072862,1.526486,1000,1000,116.79
