timestamp,experimento,layers,maxiter,batchsize,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-03-13 00:26:48,exp11_run1,"[256, 256, 256, 256]",5000,500,0.639513,0.845579,4993,5000
2026-03-13 18:34:47,exp11_run2,"[256, 256, 256, 256]",5000,500,0.528453,0.811428,4953,5000
2026-03-13 19:59:36,exp11_run3,"[256, 256, 256, 256]",5000,500,0.453622,0.682217,4999,5000
2026-03-13 21:40:07,exp12_run1,"[256, 256, 256, 256, 256]",5000,500,0.274793,0.530386,4942,5000
2026-03-13 23:23:07,exp12_run2,"[256, 256, 256, 256, 256]",5000,500,0.222664,0.448713,4927,5000
2026-03-14 01:03:32,exp12_run3,"[256, 256, 256, 256, 256]",5000,500,0.239387,0.432462,4961,5000
2026-03-14 04:09:16,exp15_run1,"[512, 512, 512, 512]",5000,500,0.230177,0.484853,4983,5000
2026-03-14 07:14:57,exp15_run2,"[512, 512, 512, 512]",5000,500,0.180806,0.385413,4975,5000
2026-03-14 10:20:43,exp15_run3,"[512, 512, 512, 512]",5000,500,0.176541,0.39816,4722,5000
2026-03-14 14:15:22,exp16_run1,"[512, 512, 512, 512, 512]",5000,500,0.229059,0.493174,4829,5000
2026-03-14 18:17:01,exp16_run2,"[512, 512, 512, 512, 512]",5000,500,0.233321,0.446511,4981,5000
2026-03-14 22:11:08,exp16_run3,"[512, 512, 512, 512, 512]",5000,500,0.220542,0.482203,4993,5000
