timestamp,experimento,fold,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-04-30 10:22:13,512x4_outlet,1,"[512, 512, 512, 512]",5000,500,0.0,0.928187,0.0857,771,971
2026-04-30 10:52:10,512x4_outlet,2,"[512, 512, 512, 512]",5000,500,0.0,0.020653,0.022831,3629,3829
2026-04-30 11:13:21,512x4_outlet,3,"[512, 512, 512, 512]",5000,500,0.0,0.031038,0.026007,2557,2757
2026-04-30 11:50:22,512x4_outlet,4,"[512, 512, 512, 512]",5000,500,0.0,0.020172,0.021864,4420,4620
2026-04-30 12:17:19,512x4_outlet,5,"[512, 512, 512, 512]",5000,500,0.0,0.020303,0.020732,3415,3615
2026-04-30 12:32:32,512x4_outlet,6,"[512, 512, 512, 512]",5000,500,0.0,0.154535,0.039797,1809,2009
2026-04-30 13:12:33,512x4_outlet,7,"[512, 512, 512, 512]",5000,500,0.0,0.016381,0.017211,4917,5000
2026-04-30 13:19:08,512x4_outlet,8,"[512, 512, 512, 512]",5000,500,0.0,1.379841,0.121981,586,786
2026-04-30 14:00:36,512x4_outlet,9,"[512, 512, 512, 512]",5000,500,0.0,0.019138,0.021297,4898,5000
2026-04-30 14:22:39,512x4_outlet,10,"[512, 512, 512, 512]",5000,500,0.0,0.047984,0.044283,2462,2662
2026-04-30 14:34:48,512x4_outlet,11,"[512, 512, 512, 512]",5000,500,0.0,0.101337,0.054205,1259,1459
2026-04-30 14:53:03,512x4_outlet,12,"[512, 512, 512, 512]",5000,500,0.0,0.059167,0.049984,2004,2204
2026-04-30 15:34:18,512x4_outlet,13,"[512, 512, 512, 512]",5000,500,0.0,0.017232,0.018828,4944,5000
2026-04-30 16:09:45,512x4_outlet,14,"[512, 512, 512, 512]",5000,500,0.0,0.022355,0.024475,4081,4281
2026-04-30 16:33:09,512x4_outlet,15,"[512, 512, 512, 512]",5000,500,0.0,0.031671,0.029392,2620,2820
2026-04-30 17:04:43,512x4_outlet,16,"[512, 512, 512, 512]",5000,500,0.0,0.016906,0.018757,3622,3822
2026-04-30 17:14:21,512x4_outlet,17,"[512, 512, 512, 512]",5000,500,0.0,0.491737,0.07604,957,1157
2026-04-30 17:29:07,512x4_outlet,18,"[512, 512, 512, 512]",5000,500,0.0,0.084441,0.041658,1583,1783
2026-04-30 17:45:35,512x4_outlet,19,"[512, 512, 512, 512]",5000,500,0.0,0.074732,0.031568,1796,1996
2026-04-30 18:06:46,512x4_outlet,20,"[512, 512, 512, 512]",5000,500,0.0,0.032353,0.027982,2357,2557
2026-04-30 18:14:56,512x4_outlet,21,"[512, 512, 512, 512]",5000,500,0.0,0.466158,0.083512,777,977
2026-04-30 18:54:55,512x4_outlet,22,"[512, 512, 512, 512]",5000,500,0.0,0.01882,0.020064,4646,4846
2026-04-30 19:26:53,512x4_outlet,23,"[512, 512, 512, 512]",5000,500,0.0,0.018654,0.020013,3683,3883
2026-04-30 20:07:52,512x4_outlet,24,"[512, 512, 512, 512]",5000,500,0.0,0.019063,0.021011,4980,5000
2026-04-30 20:44:21,512x4_outlet,25,"[512, 512, 512, 512]",5000,500,0.0,0.024817,0.027933,4224,4424
2026-04-30 20:56:12,512x4_outlet,26,"[512, 512, 512, 512]",5000,500,0.0,0.19574,0.054096,1229,1429
2026-04-30 21:17:55,512x4_outlet,27,"[512, 512, 512, 512]",5000,500,0.0,0.035593,0.030486,2428,2628
2026-04-30 21:29:40,512x4_outlet,28,"[512, 512, 512, 512]",5000,500,0.0,0.08865,0.061387,1209,1409
2026-04-30 22:01:03,512x4_outlet,29,"[512, 512, 512, 512]",5000,500,0.0,0.021307,0.023011,3543,3743
2026-04-30 22:42:22,512x4_outlet,30,"[512, 512, 512, 512]",5000,500,0.0,0.02111,0.024919,4867,5000
