timestamp,experimento,fold,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-04-18 00:29:15,512x4_fp_head,1,"[512, 512, 512, 512]",5000,500,0.0,0.181004,0.405326,4954,5000
2026-04-18 01:49:54,512x4_fp_head,2,"[512, 512, 512, 512]",5000,500,0.0,0.193371,0.396058,4874,5000
2026-04-18 02:58:33,512x4_fp_head,3,"[512, 512, 512, 512]",5000,500,0.0,0.232566,0.438094,4082,4282
2026-04-18 04:18:07,512x4_fp_head,4,"[512, 512, 512, 512]",5000,500,0.0,0.175172,0.310881,4924,5000
2026-04-18 05:26:59,512x4_fp_head,5,"[512, 512, 512, 512]",5000,500,0.0,0.234285,0.456933,4163,4363
2026-04-18 06:44:27,512x4_fp_head,6,"[512, 512, 512, 512]",5000,500,0.0,0.205046,0.368341,4830,5000
2026-04-18 08:01:53,512x4_fp_head,7,"[512, 512, 512, 512]",5000,500,0.0,0.183147,0.351677,4917,5000
2026-04-18 09:09:40,512x4_fp_head,8,"[512, 512, 512, 512]",5000,500,0.0,0.188175,0.433849,4180,4380
2026-04-18 10:21:00,512x4_fp_head,9,"[512, 512, 512, 512]",5000,500,0.0,0.18748,0.362084,4428,4628
2026-04-18 11:23:19,512x4_fp_head,10,"[512, 512, 512, 512]",5000,500,0.0,0.297107,0.483786,3804,4004
2026-04-18 12:39:04,512x4_fp_head,11,"[512, 512, 512, 512]",5000,500,0.0,0.210653,0.377856,4888,5000
2026-04-18 13:51:37,512x4_fp_head,12,"[512, 512, 512, 512]",5000,500,0.0,0.216504,0.490097,4609,4809
2026-04-18 15:06:33,512x4_fp_head,13,"[512, 512, 512, 512]",5000,500,0.0,0.200975,0.349988,4986,5000
2026-04-18 16:22:16,512x4_fp_head,14,"[512, 512, 512, 512]",5000,500,0.0,0.233566,0.376569,4952,5000
2026-04-18 17:29:31,512x4_fp_head,15,"[512, 512, 512, 512]",5000,500,0.0,0.204957,0.366546,4272,4472
2026-04-18 18:32:01,512x4_fp_head,16,"[512, 512, 512, 512]",5000,500,0.0,0.2382,0.38036,3963,4163
2026-04-18 19:30:12,512x4_fp_head,17,"[512, 512, 512, 512]",5000,500,0.0,0.197098,0.412094,3653,3853
2026-04-18 20:25:41,512x4_fp_head,18,"[512, 512, 512, 512]",5000,500,0.0,0.215473,0.420704,3500,3700
2026-04-18 21:40:05,512x4_fp_head,19,"[512, 512, 512, 512]",5000,500,0.0,0.182492,0.482003,4946,5000
2026-04-18 22:40:44,512x4_fp_head,20,"[512, 512, 512, 512]",5000,500,0.0,0.244457,0.419565,3854,4054
2026-04-18 23:55:14,512x4_fp_head,21,"[512, 512, 512, 512]",5000,500,0.0,0.186394,0.298073,4834,5000
2026-04-19 01:08:47,512x4_fp_head,22,"[512, 512, 512, 512]",5000,500,0.0,0.207604,0.512478,4877,5000
2026-04-19 02:05:54,512x4_fp_head,23,"[512, 512, 512, 512]",5000,500,0.0,0.226705,0.394267,3663,3863
2026-04-19 03:19:15,512x4_fp_head,24,"[512, 512, 512, 512]",5000,500,0.0,0.197223,0.380892,4960,5000
2026-04-19 04:32:10,512x4_fp_head,25,"[512, 512, 512, 512]",5000,500,0.0,0.238889,0.381252,4770,4970
2026-04-19 05:45:10,512x4_fp_head,26,"[512, 512, 512, 512]",5000,500,0.0,0.225314,0.40681,4998,5000
2026-04-19 06:54:14,512x4_fp_head,27,"[512, 512, 512, 512]",5000,500,0.0,0.205966,0.345523,4543,4743
2026-04-19 08:07:44,512x4_fp_head,28,"[512, 512, 512, 512]",5000,500,0.0,0.259332,0.430109,4828,5000
2026-04-19 09:07:41,512x4_fp_head,29,"[512, 512, 512, 512]",5000,500,0.0,0.255329,0.438713,3845,4045
2026-04-19 10:20:27,512x4_fp_head,30,"[512, 512, 512, 512]",5000,500,0.0,0.207263,0.397074,4883,5000
