timestamp,experimento,fold,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-03-31 23:24:12,exp16,1,"[512, 512, 512, 512, 512]",5000,500,0.0,0.192116,0.364303,4508,4708
2026-04-01 00:21:14,exp16,2,"[512, 512, 512, 512, 512]",5000,500,0.0,0.272788,0.446541,3249,3449
2026-04-01 01:40:24,exp16,3,"[512, 512, 512, 512, 512]",5000,500,0.0,0.248328,0.397211,4692,4892
2026-04-01 02:32:41,exp16,4,"[512, 512, 512, 512, 512]",5000,500,0.0,0.270232,0.384023,2999,3199
2026-04-01 03:26:26,exp16,5,"[512, 512, 512, 512, 512]",5000,500,0.0,0.301291,0.446547,3114,3314
2026-04-01 04:32:45,exp16,6,"[512, 512, 512, 512, 512]",5000,500,0.0,0.29377,0.505356,3974,4174
2026-04-01 05:14:34,exp16,7,"[512, 512, 512, 512, 512]",5000,500,0.0,0.41112,0.581816,2375,2575
2026-04-01 06:23:53,exp16,8,"[512, 512, 512, 512, 512]",5000,500,0.0,0.190435,0.354046,4122,4322
2026-04-01 07:19:58,exp16,9,"[512, 512, 512, 512, 512]",5000,500,0.0,0.266469,0.422312,3376,3576
2026-04-01 08:35:38,exp16,10,"[512, 512, 512, 512, 512]",5000,500,0.0,0.254671,0.434449,4685,4885
2026-04-01 09:54:26,exp16,11,"[512, 512, 512, 512, 512]",5000,500,0.0,0.215866,0.362844,4990,5000
2026-04-01 11:11:53,exp16,12,"[512, 512, 512, 512, 512]",5000,500,0.0,0.181363,0.399509,4604,4804
2026-04-01 12:27:02,exp16,13,"[512, 512, 512, 512, 512]",5000,500,0.0,0.214513,0.411079,4569,4769
2026-04-01 13:26:45,exp16,14,"[512, 512, 512, 512, 512]",5000,500,0.0,0.23472,0.380973,3550,3750
2026-04-01 14:42:21,exp16,15,"[512, 512, 512, 512, 512]",5000,500,0.0,0.231332,0.398443,4635,4835
2026-04-01 16:00:04,exp16,16,"[512, 512, 512, 512, 512]",5000,500,0.0,0.286122,0.447575,4918,5000
2026-04-01 16:42:34,exp16,17,"[512, 512, 512, 512, 512]",5000,500,0.0,0.394666,0.572217,2420,2620
2026-04-01 17:26:15,exp16,18,"[512, 512, 512, 512, 512]",5000,500,0.0,0.307285,0.593041,2522,2722
2026-04-01 18:43:52,exp16,19,"[512, 512, 512, 512, 512]",5000,500,0.0,0.247744,0.552792,4982,5000
2026-04-01 19:51:01,exp16,20,"[512, 512, 512, 512, 512]",5000,500,0.0,0.277158,0.52356,4052,4252
2026-04-01 21:08:37,exp16,21,"[512, 512, 512, 512, 512]",5000,500,0.0,0.227192,0.354512,4973,5000
2026-04-01 21:48:34,exp16,22,"[512, 512, 512, 512, 512]",5000,500,0.0,0.426,0.628355,2283,2483
2026-04-01 22:52:52,exp16,23,"[512, 512, 512, 512, 512]",5000,500,0.0,0.223248,0.365167,3933,4133
2026-04-01 23:49:14,exp16,24,"[512, 512, 512, 512, 512]",5000,500,0.0,0.239905,0.402385,3419,3619
2026-04-02 01:05:34,exp16,25,"[512, 512, 512, 512, 512]",5000,500,0.0,0.223217,0.412152,4991,5000
2026-04-02 02:05:22,exp16,26,"[512, 512, 512, 512, 512]",5000,500,0.0,0.272159,0.48265,3688,3888
2026-04-02 03:22:12,exp16,27,"[512, 512, 512, 512, 512]",5000,500,0.0,0.214822,0.356492,4984,5000
2026-04-02 04:32:14,exp16,28,"[512, 512, 512, 512, 512]",5000,500,0.0,0.241222,0.405342,4374,4574
2026-04-02 05:48:25,exp16,29,"[512, 512, 512, 512, 512]",5000,500,0.0,0.217853,0.371907,4965,5000
2026-04-02 06:58:16,exp16,30,"[512, 512, 512, 512, 512]",5000,500,0.0,0.240568,0.414235,4378,4578
