timestamp,experimento,fold,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-04-27 13:42:35,512x4_mt_r_foot,1,"[512, 512, 512, 512]",5000,500,0.0,0.10383,0.152698,4245,4445
2026-04-27 14:26:11,512x4_mt_r_foot,2,"[512, 512, 512, 512]",5000,500,0.0,0.126195,0.168018,3606,3806
2026-04-27 14:58:28,512x4_mt_r_foot,3,"[512, 512, 512, 512]",5000,500,0.0,0.144548,0.184549,2625,2825
2026-04-27 15:39:46,512x4_mt_r_foot,4,"[512, 512, 512, 512]",5000,500,0.0,0.133263,0.1522,3301,3501
2026-04-27 16:32:16,512x4_mt_r_foot,5,"[512, 512, 512, 512]",5000,500,0.0,0.122691,0.171253,4306,4506
2026-04-27 17:24:59,512x4_mt_r_foot,6,"[512, 512, 512, 512]",5000,500,0.0,0.121113,0.165391,4372,4572
2026-04-27 18:05:40,512x4_mt_r_foot,7,"[512, 512, 512, 512]",5000,500,0.0,0.131005,0.155628,3308,3508
2026-04-27 18:44:07,512x4_mt_r_foot,8,"[512, 512, 512, 512]",5000,500,0.0,0.137597,0.189074,3132,3332
2026-04-27 19:23:38,512x4_mt_r_foot,9,"[512, 512, 512, 512]",5000,500,0.0,0.121738,0.153938,3204,3404
2026-04-27 20:17:39,512x4_mt_r_foot,10,"[512, 512, 512, 512]",5000,500,0.0,0.117057,0.168509,4551,4751
2026-04-27 21:14:10,512x4_mt_r_foot,11,"[512, 512, 512, 512]",5000,500,0.0,0.109221,0.16576,4967,5000
2026-04-27 22:03:49,512x4_mt_r_foot,12,"[512, 512, 512, 512]",5000,500,0.0,0.106575,0.174502,4190,4390
2026-04-27 22:51:49,512x4_mt_r_foot,13,"[512, 512, 512, 512]",5000,500,0.0,0.121922,0.168763,4075,4275
2026-04-27 23:36:07,512x4_mt_r_foot,14,"[512, 512, 512, 512]",5000,500,0.0,0.122814,0.173134,3744,3944
2026-04-28 00:27:01,512x4_mt_r_foot,15,"[512, 512, 512, 512]",5000,500,0.0,0.101241,0.145624,4334,4534
2026-04-28 01:17:58,512x4_mt_r_foot,16,"[512, 512, 512, 512]",5000,500,0.0,0.106176,0.170226,4356,4556
2026-04-28 02:10:42,512x4_mt_r_foot,17,"[512, 512, 512, 512]",5000,500,0.0,0.104938,0.154033,4518,4718
2026-04-28 02:47:35,512x4_mt_r_foot,18,"[512, 512, 512, 512]",5000,500,0.0,0.139245,0.174006,3103,3303
2026-04-28 03:21:52,512x4_mt_r_foot,19,"[512, 512, 512, 512]",5000,500,0.0,0.146817,0.211138,2871,3071
2026-04-28 04:16:25,512x4_mt_r_foot,20,"[512, 512, 512, 512]",5000,500,0.0,0.109053,0.168289,4772,4972
2026-04-28 05:01:39,512x4_mt_r_foot,21,"[512, 512, 512, 512]",5000,500,0.0,0.133041,0.161454,3888,4088
2026-04-28 05:55:23,512x4_mt_r_foot,22,"[512, 512, 512, 512]",5000,500,0.0,0.104211,0.141197,4675,4875
2026-04-28 06:50:35,512x4_mt_r_foot,23,"[512, 512, 512, 512]",5000,500,0.0,0.097865,0.140042,4991,5000
2026-04-28 07:39:19,512x4_mt_r_foot,24,"[512, 512, 512, 512]",5000,500,0.0,0.109255,0.160421,4268,4468
2026-04-28 08:32:43,512x4_mt_r_foot,25,"[512, 512, 512, 512]",5000,500,0.0,0.092967,0.134549,4905,5000
2026-04-28 09:17:54,512x4_mt_r_foot,26,"[512, 512, 512, 512]",5000,500,0.0,0.117644,0.155058,3975,4175
2026-04-28 10:04:10,512x4_mt_r_foot,27,"[512, 512, 512, 512]",5000,500,0.0,0.09855,0.144413,4014,4214
2026-04-28 10:38:18,512x4_mt_r_foot,28,"[512, 512, 512, 512]",5000,500,0.0,0.097586,0.14297,2885,3085
2026-04-28 11:08:26,512x4_mt_r_foot,29,"[512, 512, 512, 512]",5000,500,0.0,0.177835,0.208311,2506,2706
2026-04-28 11:50:54,512x4_mt_r_foot,30,"[512, 512, 512, 512]",5000,500,0.0,0.11184,0.169261,3781,3981
