timestamp,experimento,fold,layers,maxiter,batchsize,l2,train_loss_final,val_loss_final,melhor_epoca,total_epocas
2026-04-19 17:34:47,512x4_lrp_head,1,"[512, 512, 512, 512]",5000,500,0.0,0.27475,0.492769,2603,2803
2026-04-19 18:39:43,512x4_lrp_head,2,"[512, 512, 512, 512]",5000,500,0.0,0.152989,0.398968,3665,3865
2026-04-19 19:37:54,512x4_lrp_head,3,"[512, 512, 512, 512]",5000,500,0.0,0.24837,0.538265,3284,3484
2026-04-19 20:49:05,512x4_lrp_head,4,"[512, 512, 512, 512]",5000,500,0.0,0.24747,0.616677,4060,4260
2026-04-19 21:54:33,512x4_lrp_head,5,"[512, 512, 512, 512]",5000,500,0.0,0.183673,0.399509,3743,3943
2026-04-19 22:59:01,512x4_lrp_head,6,"[512, 512, 512, 512]",5000,500,0.0,0.212664,0.435455,3713,3913
2026-04-19 23:45:50,512x4_lrp_head,7,"[512, 512, 512, 512]",5000,500,0.0,0.229248,0.465473,2641,2841
2026-04-20 01:00:38,512x4_lrp_head,8,"[512, 512, 512, 512]",5000,500,0.0,0.145249,0.416287,4354,4554
2026-04-20 02:13:36,512x4_lrp_head,9,"[512, 512, 512, 512]",5000,500,0.0,0.188082,0.398996,4264,4464
2026-04-20 03:20:45,512x4_lrp_head,10,"[512, 512, 512, 512]",5000,500,0.0,0.174527,0.399271,3974,4174
2026-04-20 04:23:41,512x4_lrp_head,11,"[512, 512, 512, 512]",5000,500,0.0,0.175993,0.484901,3860,4060
2026-04-20 05:40:21,512x4_lrp_head,12,"[512, 512, 512, 512]",5000,500,0.0,0.15396,0.402647,4787,4987
2026-04-20 06:43:41,512x4_lrp_head,13,"[512, 512, 512, 512]",5000,500,0.0,0.169747,0.375916,3938,4138
2026-04-20 07:42:53,512x4_lrp_head,14,"[512, 512, 512, 512]",5000,500,0.0,0.16675,0.354357,3662,3862
2026-04-20 08:36:43,512x4_lrp_head,15,"[512, 512, 512, 512]",5000,500,0.0,0.194552,0.407129,3313,3513
2026-04-20 09:42:16,512x4_lrp_head,16,"[512, 512, 512, 512]",5000,500,0.0,0.166758,0.480664,4130,4330
2026-04-20 10:36:42,512x4_lrp_head,17,"[512, 512, 512, 512]",5000,500,0.0,0.193114,0.45098,3398,3598
2026-04-20 11:26:13,512x4_lrp_head,18,"[512, 512, 512, 512]",5000,500,0.0,0.196059,0.438341,3083,3283
2026-04-20 12:28:46,512x4_lrp_head,19,"[512, 512, 512, 512]",5000,500,0.0,0.201447,0.461255,4003,4203
2026-04-20 13:42:46,512x4_lrp_head,20,"[512, 512, 512, 512]",5000,500,0.0,0.193618,0.453148,4828,5000
2026-04-20 14:43:33,512x4_lrp_head,21,"[512, 512, 512, 512]",5000,500,0.0,0.173948,0.430789,3825,4025
2026-04-20 15:38:43,512x4_lrp_head,22,"[512, 512, 512, 512]",5000,500,0.0,0.165712,0.518226,3484,3684
2026-04-20 16:37:29,512x4_lrp_head,23,"[512, 512, 512, 512]",5000,500,0.0,0.245739,0.622244,3724,3924
2026-04-20 17:28:36,512x4_lrp_head,24,"[512, 512, 512, 512]",5000,500,0.0,0.213199,0.505787,3230,3430
2026-04-20 18:28:24,512x4_lrp_head,25,"[512, 512, 512, 512]",5000,500,0.0,0.16871,0.430301,3827,4027
2026-04-20 19:39:40,512x4_lrp_head,26,"[512, 512, 512, 512]",5000,500,0.0,0.208404,0.452245,4542,4742
2026-04-20 20:32:07,512x4_lrp_head,27,"[512, 512, 512, 512]",5000,500,0.0,0.189472,0.442732,3242,3442
2026-04-20 21:40:49,512x4_lrp_head,28,"[512, 512, 512, 512]",5000,500,0.0,0.166863,0.40955,4314,4514
2026-04-20 22:29:45,512x4_lrp_head,29,"[512, 512, 512, 512]",5000,500,0.0,0.236813,0.500391,2960,3160
2026-04-20 23:43:15,512x4_lrp_head,30,"[512, 512, 512, 512]",5000,500,0.0,0.165061,0.431026,4690,4890
